Time,Voltage(V),Current(A),Power(W),Energy(J),Batt(%)
16.44,12.0,0.67,8.01,572.07,99.7
16.45,12.0,0.67,8.01,572.13,99.7
16.46,12.0,0.67,8.01,572.20,99.7
16.47,12.0,0.67,8.01,572.26,99.7
16.48,12.0,0.67,8.01,572.33,99.7
16.48,12.0,0.67,8.01,572.39,99.7
16.49,12.0,0.67,8.01,572.45,99.7
16.50,12.0,0.67,8.01,572.52,99.7
16.51,12.0,0.67,8.01,572.58,99.7
16.51,12.0,0.67,8.01,572.65,99.7
16.52,12.0,0.67,8.01,572.71,99.7
16.52,12.0,0.67,8.01,572.77,99.7
16.53,12.0,0.67,8.01,572.84,99.7
16.54,12.0,0.67,8.01,572.90,99.7
16.55,12.0,0.67,8.01,572.97,99.7
16.55,12.0,0.67,8.01,573.03,99.7
16.56,12.0,0.67,8.01,573.09,99.7
16.57,12.0,0.67,8.01,573.16,99.7
16.58,12.0,0.67,8.01,573.22,99.7
16.59,12.0,0.67,8.01,573.29,99.7
16.59,12.0,0.67,8.01,573.35,99.7
16.60,12.0,0.67,8.01,573.42,99.7
16.61,12.0,0.67,8.01,573.48,99.7
16.62,12.0,0.67,8.01,573.54,99.7
16.63,12.0,0.67,8.01,573.61,99.7
16.64,12.0,0.67,8.01,573.67,99.7
16.65,12.0,0.67,8.01,573.74,99.7
16.66,12.0,0.67,8.01,573.80,99.7
16.67,12.0,0.67,8.01,573.86,99.7
16.68,12.0,0.67,8.01,573.93,99.7
16.69,12.0,0.67,8.01,573.99,99.7
16.70,12.0,0.67,8.01,574.06,99.7
16.71,12.0,0.67,8.01,574.12,99.7
16.72,12.0,0.67,8.01,574.18,99.7
16.73,12.0,0.67,8.01,574.25,99.7
16.74,12.0,0.67,8.01,574.31,99.7
16.75,12.0,0.67,8.01,574.38,99.7
